name,year founded,industry,size range,locality,country,current employee estimate
rockwell collins,1933.0,aviation & aerospace,10001+,"cedar rapids, iowa, united states",united states,11957
office depot,1986.0,business supplies and equipment,10001+,"boca raton, florida, united states",united states,11948
manulife,,financial services,10001+,"riverside, california, united states",united states,11921
ceva logistics,2006.0,logistics and supply chain,10001+,"hoofddorp, north holland, netherlands",united states,11917
"nbcuniversal media, llc",1926.0,entertainment,10001+,"new york, new york, united states",united states,11891
university of phoenix,1976.0,higher education,10001+,"tempe, arizona, united states",united states,11801
sutherland global services,1986.0,outsourcing/offshoring,10001+,"rochester, new york, united states",united states,11691
harvard university,,higher education,10001+,"cambridge, massachusetts, united states",united states,11673
mary kay cosmetics,,professional training & coaching,10001+,"albany, new york, united states",united states,11627
ucla,1919.0,higher education,10001+,"los angeles, california, united states",united states,11624
international paper,,paper & forest products,10001+,"memphis, tennessee, united states",united states,11618
geico,1936.0,insurance,10001+,"chevy chase, maryland, united states",united states,11586
ch2m hill,1946.0,civil engineering,10001+,"englewood, colorado, united states",united states,11571
kellogg company,1906.0,consumer goods,10001+,"battle creek, michigan, united states",united states,11534
purdue university,1869.0,higher education,10001+,"west lafayette, indiana, united states",united states,11530
columbia university in the city of new york,,higher education,10001+,"new york, new york, united states",united states,11520
chase,,financial services,10001+,"new york, new york, united states",united states,11470
providence health & services,1859.0,hospital & health care,10001+,"renton, washington, united states",united states,11468
university of illinois at urbana-champaign,1867.0,higher education,10001+,"champaign, illinois, united states",united states,11401
whirlpool corporation,1911.0,consumer goods,10001+,"benton harbor, michigan, united states",united states,11390
university of southern california,1880.0,research,10001+,"los angeles, california, united states",united states,11390
rite aid,1968.0,retail,10001+,"harrisburg, pennsylvania, united states",united states,11323
state of california,1850.0,government administration,10001+,"sacramento, california, united states",united states,11294
vanguard,1975.0,financial services,10001+,"valley forge, pennsylvania, united states",united states,11284
enterprise holdings,,"leisure, travel & tourism",10001+,"st. louis, missouri, united states",united states,11269
leidos,1969.0,information technology and services,10001+,"reston, virginia, united states",united states,11250
blackrock,1988.0,financial services,10001+,"new york, new york, united states",united states,11238
mckesson,1833.0,hospital & health care,10001+,"san francisco, california, united states",united states,11207
robert bosch,1906.0,mechanical or industrial engineering,10001+,"farmington hills, michigan, united states",united states,11100
us army corps of engineers,,military,10001+,"washington, district of columbia, united states",united states,11056
united states army reserve,1908.0,military,10001+,"fort bragg, north carolina, united states",united states,11043
regions bank,1971.0,banking,10001+,"birmingham, alabama, united states",united states,11039
the university of texas at austin,1883.0,higher education,10001+,"austin, texas, united states",united states,11035
ppd,1985.0,pharmaceuticals,10001+,"wilmington, north carolina, united states",united states,11019
grant thornton llp,1924.0,accounting,10001+,"chicago, illinois, united states",united states,11009
the hartford,1810.0,financial services,10001+,"hartford, connecticut, united states",united states,10994
nasa,1958.0,aviation & aerospace,10001+,"washington, district of columbia, united states",united states,10955
new york university,1831.0,higher education,10001+,"new york, new york, united states",united states,10931
university of pennsylvania,,higher education,10001+,"philadelphia, pennsylvania, united states",united states,10908
paypal,1998.0,internet,10001+,"san jose, california, united states",united states,10904
