name,domain,year founded,industry,size range,locality,country
national oilwell varco,nov.com,1841.0,oil & energy,10001+,"seminole, texas, united states",united states
walt disney world,waltdisneyworld.jobs,1971.0,entertainment,10001+,"lake buena vista, florida, united states",united states
staples,staples.com,1986.0,business supplies and equipment,10001+,"framingham, massachusetts, united states",united states
the salvation army,salvationarmyusa.org,1865.0,non-profit organization management,10001+,"nassau, new york, united states",united states
barclays investment bank,,,financial services,10001+,"new york, new york, united states",united states
sherwin williams,sherwin-williams.com,1866.0,chemicals,10001+,"cleveland, ohio, united states",united states
motorola,motorola.com,1928.0,consumer electronics,10001+,"chicago, illinois, united states",united states
stanford university,stanford.edu,,higher education,10001+,"stanford, california, united states",united states
mercer,mercer.com,,human resources,10001+,"new york, new york, united states",united states
genentech,gene.com,1976.0,biotechnology,10001+,"south san francisco, california, united states",united states
bd,bd.com,1897.0,medical devices,10001+,"franklin lakes, new jersey, united states",united states
duke energy corporation,duke-energy.com,1904.0,utilities,10001+,"charlotte, north carolina, united states",united states
teksystems,teksystems.com,1983.0,information technology and services,10001+,"hanover, maryland, united states",united states
century 21®,century21.com,1971.0,real estate,10001+,"madison, new jersey, united states",united states
colgate palmolive,colgate.com,1806.0,consumer goods,10001+,"new york, new york, united states",united states
ge aviation,geaviation.com,,airlines/aviation,10001+,"cincinnati, ohio, united states",united states
tesla,teslamotors.com,2003.0,automotive,10001+,"palo alto, california, united states",united states
u.s. coast guard,uscg.mil,1915.0,military,10001+,"washington, district of columbia, united states",united states
the janssen pharmaceutical companies of johnson & johnson,janssen.com,,pharmaceuticals,10001+,"raritan, new jersey, united states",united states
charter communications,charter.com,1993.0,telecommunications,10001+,"stamford, connecticut, united states",united states
re/max,remax.com,1973.0,real estate,10001+,"denver, colorado, united states",united states
jabil,jabil.com,1966.0,electrical/electronic manufacturing,10001+,"st. petersburg, florida, united states",united states
us government,gao.gov,,government administration,10001+,"washington, district of columbia, united states",united states
pizza hut,pizzahut.com,1958.0,restaurants,10001+,"plano, texas, united states",united states
emerson automation solutions,emerson.com,,mechanical or industrial engineering,10001+,"round rock, texas, united states",united states
the boston consulting group (bcg),bcg.com,1963.0,management consulting,10001+,"boston, massachusetts, united states",united states
l-3 communications,l3design.eu,1997.0,management consulting,10001+,"new york, new york, united states",united states
davita,davita.com,1999.0,hospital & health care,10001+,"denver, colorado, united states",united states
lear corporation,lear.com,1917.0,automotive,10001+,"southfield, michigan, united states",united states
rockwell automation,rockwellautomation.com,1903.0,industrial automation,10001+,"milwaukee, wisconsin, united states",united states
wells fargo advisors,wellsfargoadvisors.com,,financial services,10001+,"st. louis, missouri, united states",united states
texas a&m university,tamu.edu,1876.0,higher education,10001+,"college station, texas, united states",united states
bloomberg lp,bloomberg.com,1981.0,financial services,10001+,"new york, new york, united states",united states
arizona state university,asu.edu,1885.0,higher education,10001+,"tempe, arizona, united states",united states
ppg industries,ppg.com,1883.0,chemicals,10001+,"pittsburgh, pennsylvania, united states",united states
fiserv,fiserv.com,1984.0,information technology and services,10001+,"brookfield, wisconsin, united states",united states
conocophillips,conocophillips.com,2012.0,oil & energy,10001+,"houston, texas, united states",united states
michigan state university,msu.edu,,higher education,10001+,"east lansing, michigan, united states",united states
suntrust bank,suntrust.com,1891.0,financial services,10001+,"atlanta, georgia, united states",united states
rockwell collins,rockwellcollins.com,1933.0,aviation & aerospace,10001+,"cedar rapids, iowa, united states",united states
office depot,officedepot.com,1986.0,business supplies and equipment,10001+,"boca raton, florida, united states",united states
manulife,manulife.com,,financial services,10001+,"riverside, california, united states",united states
